"player","player_id","position","team_name","player_game_count","attempts","attempts_with_hangtime","average_hangtime","average_net_yards","average_yards_per_attempt","average_yards_per_return","blocks","declined_penalties","downeds","fair_catches","franchise_id","grades_punter","inside_twenties","long","out_of_bounds","penalties","percent_returned","return_yards","returns","snaps","total_hangtime","total_net_yards","touchbacks","yards","season"
"B.Kern",4580,"P","TEN",16,74,74,4.2,42.26,47.07,9,1,0,7,16,31,68.6,39,62,15,0,44.6,296,33,75,310.82,3127,3,3483,2018
"K.Huber",5066,"P","CIN",16,71,71,4.2,39.99,43.93,7.3,1,0,12,24,7,53.8,30,69,2,0,42.3,220,30,72,298.37,2839,3,3119,2018
"T.Morstead",5088,"P","NO",16,50,50,4.55,43.22,46.02,4.6,0,0,3,19,20,82.1,18,60,11,0,26,60,13,50,227.54,2161,4,2301,2018
"B.Colquitt",5192,"P","CLV",16,83,83,4.33,39.16,45.39,10.7,2,0,11,22,8,64.4,32,79,7,0,44.6,397,37,85,359.48,3250,6,3767,2018
"M.Bosher",6344,"P","ATL",16,60,60,4.46,41.42,45.48,6.8,2,0,6,21,2,68.8,24,57,3,0,45,184,27,62,267.66,2485,3,2729,2018
"C.Jones",6798,"P","DAL",18,69,69,4.45,39.35,44.35,8.5,0,0,11,16,9,68.9,20,63,4,0,52.2,305,36,69,306.89,2715,2,3060,2018
"B.Anger",7072,"P","TB",16,57,57,4.41,39.58,45.04,8.6,1,0,7,16,30,61.4,15,64,3,0,47.4,231,27,58,251.46,2256,4,2567,2018
"J.Hekker",7252,"P","LA",19,57,57,4.13,43.42,45.98,7.6,0,0,15,10,26,75.9,28,68,16,0,24.6,106,14,57,235.62,2475,2,2621,2018
"M.King",7410,"P","DEN",4,20,20,3.96,39.7,44.05,8.4,0,0,4,2,10,61.3,8,66,5,0,40,67,8,20,79.29,794,1,881,2018
"S.Martin",7947,"P","DET",16,74,74,4.26,39.16,44.73,11.4,0,0,13,25,11,63.3,32,61,3,0,39.2,332,29,74,314.93,2898,4,3310,2018
"C.Sturgis",7948,"K","LAC",1,1,1,2.85,24,24,NA,0,0,1,0,27,60,1,24,0,0,0,0,0,1,2.85,24,0,24,2018
"C.Schmidt",8104,"P","BUF",3,16,16,3.7,33.75,42.25,16,0,0,2,4,4,38,4,55,2,0,37.5,96,6,16,59.18,540,2,676,2018
"R.Allen",8242,"P","NE",18,75,75,4.11,39.36,44.64,8.8,0,0,18,9,19,58.3,29,66,12,0,38.7,256,29,75,308.17,2952,7,3348,2018
"T.Way",8358,"P","WAS",16,79,79,4.37,41.49,45.33,9.8,0,0,19,26,32,69.2,43,63,3,0,39.2,303,31,79,345.07,3278,0,3581,2018
"P.O'Donnell",8826,"P","CHI",17,68,68,4.39,40.37,44.62,7.1,1,0,14,21,6,67.7,34,65,5,0,30.9,149,21,69,298.33,2745,7,3034,2018
"M.Palardy",9277,"P","CAR",16,61,61,4.4,40.95,45.23,8.2,0,0,7,24,5,75.3,26,59,4,0,36.1,181,22,61,268.58,2498,4,2759,2018
"B.Pinion",9598,"P","SF",16,68,68,4.47,39.68,43.72,7.8,1,0,4,28,28,64.7,23,64,7,0,36.8,195,25,69,303.69,2698,4,2973,2018
"M.Darr",9812,"","BUF",5,20,20,3.96,36.25,40.45,8,0,0,5,5,4,43.8,5,55,1,0,40,64,8,20,79.23,725,1,809,2018
"M.Wile",9972,"P","MIN",16,72,72,4.43,42.04,45.21,6.1,1,0,11,19,18,64.8,29,70,9,0,43.1,188,31,73,319.18,3027,2,3255,2018
"J.Berry",10236,"P","PIT",16,63,63,4.41,38.83,43.7,14.2,0,0,12,25,25,64.7,30,69,6,0,25.4,227,16,63,277.79,2446,4,2753,2018
"D.Kaser",10813,"P","GB",4,13,13,4.23,38.08,48.38,16.3,1,0,2,2,12,60.5,7,66,1,0,53.8,114,7,14,55.02,495,1,629,2018
"R.Dixon",10862,"P","NYG",16,71,71,4.21,41.82,45.44,6.6,0,0,15,16,21,56,24,60,9,0,38,177,27,71,298.96,2969,4,3226,2018
"L.Edwards",10869,"P","NYJ",16,82,82,4.15,40.79,45.89,7.6,0,0,10,15,22,52.5,25,67,10,0,51.2,318,42,82,340.14,3345,5,3763,2018
"R.Sanchez",12130,"P","IND",18,68,68,4.37,42.59,45.81,3.8,0,0,12,21,14,64,29,63,3,0,38.2,99,26,68,297.31,2896,6,3115,2018
"M.Haack",12212,"P","MIA",16,87,87,4.38,38.85,44.64,10.4,1,0,10,25,17,68.2,38,65,9,0,42.5,384,37,88,381,3380,6,3884,2018
"C.Johnston",12255,"P","PHI",18,71,71,4.17,43.13,47.94,5.9,0,0,5,22,24,51.2,31,68,3,0,47.9,202,34,71,296.32,3062,7,3404,2018
"J.Townsend",22261,"P","OAK",16,70,70,4.29,38.3,43.17,8.6,0,0,10,22,23,47.6,19,64,5,0,40,241,28,70,299.96,2681,5,3022,2018
"C.Bojorquez",27626,"P","BUF",8,45,45,4.26,40.24,45.07,6.9,1,0,8,9,4,53,23,60,4,0,44.4,137,20,46,191.53,1811,4,2028,2018
"L.Cooke",29214,"P","JAX",16,86,86,4.34,41.26,45.02,5,0,0,11,18,15,58.1,39,72,13,0,43,184,37,86,373.36,3548,7,3872,2018
"M.Dickson",35381,"P","SEA",17,85,85,4.21,42.76,48.46,9.1,1,0,14,10,29,73.8,35,69,14,0,49.4,384,42,86,357.92,3635,5,4119,2018
"C.Wadman",38062,"P","DEN",12,65,65,4.31,37.91,44.69,11.1,0,0,5,18,10,64.3,23,65,8,0,41.5,301,27,65,280.33,2464,7,2905,2018
"J.Scott",38809,"P","GB",15,71,71,4.52,39.3,44.73,10.3,1,0,11,27,12,64.2,21,67,4,0,28.2,206,20,72,320.88,2790,9,3176,2018
"T.Daniel",38843,"P","HST",17,79,79,4.22,39.39,43.94,7.6,0,0,9,25,13,56,39,61,6,0,43,259,34,79,333.2,3112,5,3471,2018
"A.Lee",1906,"P","ARZ",14,61,61,4.31,41.89,47.77,9,1,1,5,15,1,60.5,22,64,6,1,50.8,279,31,62,262.97,2555,4,2914,2019
"D.Colquitt",2316,"P","KC",19,56,56,4.38,40.39,44.13,5,2,0,12,16,16,60.7,26,68,1,0,39.3,109,22,58,245.26,2262,5,2471,2019
"S.Koch",3148,"P","BLT",16,41,41,4.19,40.88,46.32,9.5,1,0,5,11,3,66.8,21,62,6,0,36.6,143,15,42,171.68,1676,4,1899,2019
"B.Kern",4580,"P","TEN",19,93,93,4.22,42.82,47.32,9.1,0,0,11,21,31,88.9,45,70,22,0,35.5,299,33,93,392.2,3982,6,4401,2019
"K.Huber",5066,"P","CIN",16,75,75,4.31,42.11,45.25,5.4,0,0,9,30,7,63.9,32,63,6,0,33.3,136,25,75,323.15,3158,5,3394,2019
"T.Morstead",5088,"P","NO",17,65,65,4.31,43.02,46.14,7,0,0,7,24,20,70.2,34,64,7,0,40,183,26,65,279.96,2796,1,2999,2019
"B.Colquitt",5192,"P","MIN",17,74,74,4.48,42.5,45.81,7.5,0,0,10,26,18,74.4,28,61,7,0,40.5,225,30,74,331.48,3145,1,3390,2019
"M.Bosher",6344,"P","ATL",3,9,9,4.61,40.78,41.89,5,1,0,0,7,2,61.5,2,52,0,0,22.2,10,2,10,41.45,367,0,377,2019
"C.Jones",6798,"P","DAL",16,50,50,4.48,37.7,41.58,8.6,1,0,9,18,9,68.7,18,58,3,0,36,154,18,51,224.14,1885,2,2079,2019
"B.Anger",7072,"P","HST",15,53,53,4.45,44.25,46.17,3.1,0,0,10,20,13,72.9,31,71,1,0,37.7,62,20,53,235.66,2345,2,2447,2019
"J.Hekker",7252,"P","LA",16,66,66,4.31,42.95,47.3,8.1,1,0,10,14,26,69.4,26,69,14,0,34.8,187,23,67,284.72,2835,5,3122,2019
"S.Martin",7947,"P","DET",16,76,76,4.33,41.79,45.33,4.4,0,0,13,22,11,60.2,31,62,5,0,38.2,129,29,76,329.01,3176,7,3445,2019
"R.Allen",8242,"P","ATL",8,28,28,3.91,37.5,41.86,7.8,0,0,5,8,2,62.2,14,59,4,0,28.6,62,8,28,109.54,1050,3,1172,2019
"T.Way",8358,"P","WAS",16,79,79,4.36,44.11,49.61,9.1,0,0,12,19,32,71.3,31,79,5,0,49.4,354,39,79,344.77,3485,4,3919,2019
"P.O'Donnell",8826,"P","CHI",16,80,80,4.23,41.24,44.83,7.1,1,0,13,26,6,55.3,27,75,4,1,43.8,247,35,81,338.38,3299,2,3586,2019
"K.Redfern",9155,"P","ATL",3,9,9,4.41,36.89,41.22,7.8,0,0,0,3,2,60.2,3,54,1,0,55.6,39,5,9,39.68,332,0,371,2019
"M.Palardy",9277,"P","CAR",16,75,75,4.33,38.73,46.03,12.2,0,0,7,16,5,59.7,28,62,9,0,53.3,487,40,75,324.9,2905,3,3452,2019
"B.Pinion",9598,"P","TB",16,57,57,4.48,38.28,43.23,8.9,0,0,9,18,30,70.6,23,63,2,0,43.9,222,25,57,255.33,2182,3,2464,2019
"T.Long",9728,"K","LAC",15,48,48,4.06,40.92,47,7.6,0,0,3,8,27,52.8,20,60,2,0,68.8,252,33,48,195.01,1964,2,2256,2019
"M.Wile",9972,"P","ATL",2,6,6,4.53,44.67,48.33,5.5,0,0,0,0,2,63.7,3,60,2,0,66.7,22,4,6,27.16,268,0,290,2019
"J.Berry",10236,"P","PIT",16,74,74,4.44,40.85,45.51,9.1,0,0,12,24,25,64,27,69,5,0,39.2,265,29,74,328.33,3023,4,3368,2019
"R.Dixon",10862,"P","NYG",16,69,69,4.35,43.51,46.06,5.7,2,0,17,17,21,67,32,62,9,0,34.8,136,24,71,300.03,3002,2,3178,2019
"L.Edwards",10869,"P","NYJ",16,87,87,4.19,41.63,45.87,7,0,0,18,13,22,57.7,30,63,9,0,50.6,309,44,87,364.16,3622,3,3991,2019
"K.Fairbairn",11161,"K","HST",1,1,1,3.88,26,26,NA,0,0,0,0,13,60,1,26,1,0,0,0,0,1,3.88,26,0,26,2019
"Z.Gonzalez",11979,"K","ARZ",1,2,2,4.25,42,42,NA,0,0,1,1,1,59.7,0,44,0,0,0,0,0,2,8.49,84,0,84,2019
"R.Sanchez",12130,"P","IND",16,59,59,4.33,41.24,44.39,5.9,0,0,9,15,14,73.4,25,60,6,0,47.5,166,28,59,255.51,2433,1,2619,2019
"M.Haack",12212,"P","MIA",16,69,69,4.3,41.1,44.97,7.8,0,0,12,20,17,60.1,27,62,6,0,42,227,29,69,296.82,2836,2,3103,2019
"C.Johnston",12255,"P","PHI",17,74,74,4.21,42.38,46.32,6.4,0,0,9,21,24,54.9,34,61,7,0,44.6,212,33,74,311.63,3136,4,3428,2019
"A.Seibert",13701,"K","CLV",1,1,1,3.57,37,37,NA,0,0,1,0,8,60,1,37,0,0,0,0,0,1,3.57,37,0,37,2019
"C.Bojorquez",27626,"P","BUF",17,83,83,4.52,38.12,42.07,8.8,1,0,14,27,4,67.8,36,67,15,0,22.9,168,19,84,375.35,3164,8,3492,2019
"L.Cooke",29214,"P","JAX",16,75,75,4.42,44.53,46.76,5.3,0,0,11,26,15,70.2,29,66,12,0,32,127,24,75,331.3,3340,2,3507,2019
"R.Winslow",30026,"P","ARZ",2,6,6,4.15,44.17,48.5,1.5,0,0,1,0,1,53.8,2,55,0,0,66.7,6,4,6,24.88,265,1,291,2019
"J.Bailey",33963,"P","NE",17,86,86,4.38,41.08,44.98,6.3,0,0,12,20,19,71.9,41,65,18,0,32.6,175,28,86,376.77,3533,8,3868,2019
"M.Dickson",35381,"P","SEA",18,81,81,4.39,41.07,45.26,6.3,0,0,10,22,29,64.6,41,64,8,0,43.2,219,35,81,355.9,3327,6,3666,2019
"A.Cole",36038,"P","OAK",16,67,67,4.27,39.45,45.99,10.6,0,0,8,20,23,58.9,35,74,3,1,44.8,318,30,67,286.08,2643,6,3081,2019
"C.Wadman",38062,"P","DEN",16,78,78,4.37,39.36,44.33,9.6,0,0,9,21,10,63.8,31,60,12,0,41,308,32,78,340.9,3070,4,3458,2019
"J.Scott",38809,"P","GB",18,85,85,4.42,39.79,43.89,9.6,0,0,12,27,12,72.7,31,66,14,0,32.9,269,28,85,375.94,3382,4,3731,2019
"T.Daniel",38843,"P","HST",2,11,11,4.12,40.91,43.55,4.1,0,0,1,3,13,58.8,2,54,0,0,63.6,29,7,11,45.33,450,0,479,2019
"M.Wishnowsky",44663,"P","SF",19,60,60,4.33,41.52,44.7,5.2,0,0,9,18,28,64.2,29,65,5,0,41.7,131,25,60,259.95,2491,3,2682,2019
"J.Gillan",63303,"P","CLV",16,63,63,4.53,42.25,46.24,7.6,1,0,12,18,8,74.3,28,71,8,0,31.7,151,20,64,285.52,2662,5,2913,2019
"A.Lee",1906,"P","ARZ",16,58,58,4.22,39.64,44.83,9.1,0,0,9,20,1,59.7,23,61,2,0,37.9,201,22,58,244.81,2299,5,2600,2020
"D.Colquitt",2316,"P","JAX",6,26,26,4.26,38.08,43.58,7.4,0,0,2,8,15,58.8,10,59,0,0,53.8,103,14,26,110.79,990,2,1133,2020
"S.Koch",3148,"P","BLT",16,57,57,4.3,42.35,44.42,4.9,0,0,6,20,3,67.2,23,59,10,0,35.1,98,20,57,244.9,2414,1,2532,2020
"B.Kern",4580,"P","TEN",14,42,42,4.21,41.98,45.79,7.7,0,0,5,14,31,74,29,66,7,0,31,100,13,42,176.98,1763,3,1923,2020
"K.Huber",5066,"P","CIN",15,71,71,4.25,42.82,47.18,5.9,0,0,15,16,7,57.2,21,72,4,0,40.8,170,29,71,301.93,3040,7,3350,2020
"T.Morstead",5088,"P","NO",16,67,67,4.45,41.33,42.9,3.1,0,0,5,33,20,63.1,29,58,6,0,31.3,65,21,67,297.84,2769,2,2874,2020
"B.Colquitt",5192,"P","MIN",16,54,54,4.32,38.04,45.09,9.7,2,0,6,11,18,56.5,12,59,1,0,61.1,321,33,56,233.2,2054,3,2435,2020
"C.Jones",6798,"P","DAL",8,24,24,4.44,40.21,42.58,6.2,0,0,0,15,9,60.7,5,54,2,0,25,37,6,24,106.59,965,1,1022,2020
"B.Anger",7072,"P","HST",16,54,54,4.4,41.8,46.39,6.7,0,0,4,21,13,71.2,23,67,4,0,35.2,128,19,54,237.49,2257,6,2505,2020
"J.Hekker",7252,"P","LA",17,79,79,4.32,40.23,45.8,12.1,1,0,11,22,26,61,35,64,13,0,35.4,340,28,80,341.23,3178,5,3618,2020
"S.Martin",7947,"P","DEN",16,65,65,4.13,42.06,46.77,8.1,1,0,4,13,10,69.9,22,69,16,0,43.1,226,28,66,268.28,2734,4,3040,2020
"R.Allen",8242,"P","IND",3,14,14,3.78,38.57,48.57,10,0,0,1,0,14,55,3,65,1,0,71.4,100,10,14,52.89,540,2,680,2020
"T.Way",8358,"P","WAS",17,78,78,4.41,44.08,47.73,5.9,0,0,11,26,32,67.3,30,65,0,0,48.7,225,38,78,344.33,3438,3,3723,2020
"P.O'Donnell",8826,"P","CHI",17,71,71,4.17,39.28,45.14,11.3,0,0,10,25,6,54.4,30,64,3,0,39.4,316,28,71,295.89,2789,5,3205,2020
"B.Pinion",9598,"P","TB",18,68,68,4.35,39.54,44.5,11,0,0,8,20,30,78.9,28,62,11,0,39.7,297,27,68,296.03,2689,2,3026,2020
"T.Long",9728,"K","LAC",16,57,57,4.18,35.88,46.82,15.2,3,0,4,8,27,55.8,13,63,5,0,64.9,564,37,60,238.18,2045,3,2669,2020
"J.Berry",10236,"P","PIT",12,60,60,4.37,40.07,45.57,10.9,0,0,4,21,25,65.5,26,62,8,0,38.3,250,23,60,262.21,2404,4,2734,2020
"R.Dixon",10862,"P","NYG",16,65,65,4.36,39.37,44.78,9.3,1,0,14,18,21,64,28,71,2,0,38.5,232,25,66,283.08,2559,6,2911,2020
"K.Fairbairn",11161,"K","HST",1,1,1,3.68,26,26,NA,0,0,1,0,13,60,1,26,0,0,0,0,0,1,3.68,26,0,26,2020
"A.Rosas",11331,"K","JAX",1,3,3,3.67,29,36.67,11.5,0,0,0,0,15,50.6,0,44,1,0,66.7,23,2,3,11.02,87,0,110,2020
"J.Elliott",11908,"K","PHI",1,2,2,3.58,38.5,38.5,0,0,0,0,0,24,58.8,1,42,0,0,100,0,2,2,7.16,77,0,77,2020
"R.Sanchez",12130,"P","IND",14,44,44,4.26,40.73,45.75,7.4,1,0,7,11,14,70.4,20,60,3,0,43.2,141,19,45,187.3,1792,4,2013,2020
"M.Haack",12212,"P","MIA",16,68,68,4.43,39.75,44.71,12.4,0,0,15,22,17,66.3,30,63,5,0,35.3,297,24,68,301.43,2703,2,3040,2020
"C.Johnston",12255,"P","PHI",16,71,71,4.33,41.18,46.73,6.7,1,0,5,13,24,63,29,66,6,0,57.7,274,41,72,307.08,2924,6,3318,2020
"J.Townsend",22261,"P","BLT",1,2,2,4.25,37,50,13,0,0,0,0,3,60.2,0,55,0,0,100,26,2,2,8.49,74,0,100,2020
"C.Bojorquez",27626,"P","BUF",18,52,52,4.4,43.33,49.33,8.4,0,0,7,9,4,69.8,24,72,10,0,34.6,152,18,52,228.91,2253,8,2565,2020
"L.Cooke",29214,"P","JAX",14,56,56,4.31,43.23,47.66,7,0,0,13,11,15,62.1,19,67,6,0,37.5,148,21,56,241.35,2421,5,2669,2020
"H.Niswander",29601,"P","DAL",8,26,26,4.54,42.04,47.23,10.6,0,0,1,14,9,58.3,10,58,0,0,34.6,95,9,26,118.04,1093,2,1228,2020
"T.Townsend",33007,"P","KC",18,56,56,4.42,39.84,44.46,7.4,0,0,5,18,16,68.3,21,67,10,0,28.6,119,16,56,247.75,2231,7,2490,2020
"S.Hofrichter",33541,"P","ATL",16,56,56,4.42,39.27,42.52,5.5,0,0,5,19,2,70.2,17,57,4,0,46.4,142,26,56,247.28,2199,2,2381,2020
"J.Charlton",33672,"P","CAR",16,45,45,4.57,40.84,46.27,10.2,0,0,6,16,5,76.1,21,67,2,0,40,184,18,45,205.45,1838,3,2082,2020
"J.Bailey",33963,"P","NE",16,55,55,4.37,45.58,48.69,5.9,0,0,15,18,19,74.8,34,71,5,0,21.8,71,12,55,240.58,2507,5,2678,2020
"J.Fox",34735,"P","DET",16,59,59,4.55,44.76,49.1,5.5,0,0,11,16,11,82.8,29,67,4,0,35.6,116,21,59,268.33,2641,7,2897,2020
"M.Dickson",35381,"P","SEA",17,69,69,4.29,45.01,50.35,7.2,0,0,11,14,29,82,36,71,7,0,42,208,29,69,296.14,3106,8,3474,2020
"A.Cole",36038,"P","LV",16,44,44,4.37,40.14,44.07,9.5,0,0,6,16,23,66.1,24,63,6,0,31.8,133,14,44,192.1,1766,2,1939,2020
"J.Scott",38809,"P","GB",17,51,51,4.57,38.29,45.37,15.8,1,0,10,10,12,78.6,17,62,9,0,37.3,301,19,52,232.95,1953,3,2314,2020
"T.Daniel",38843,"P","TEN",2,4,4,3.95,37.5,39.25,7,1,0,0,2,31,51.7,0,52,1,0,25,7,1,5,15.79,150,0,157,2020
"M.Wishnowsky",44663,"P","SF",15,66,66,4.44,42.27,46.86,8,1,0,5,28,28,75.4,27,60,4,0,34.8,183,23,67,292.87,2790,6,3093,2020
"B.Mann",44664,"P","NYJ",16,82,82,4.39,37.22,43.88,11.7,0,0,10,20,22,64.4,19,60,9,0,46.3,446,38,82,360.22,3052,5,3598,2020
"J.Gillan",63303,"P","CLV",18,58,58,4.3,38.34,43.74,9,0,0,5,18,8,60.1,20,59,4,0,48.3,253,28,58,249.11,2224,3,2537,2020
"A.Lee",1906,"P","ARZ",17,56,56,4.2,42.11,48.96,8.9,0,0,5,11,1,48.1,13,62,3,0,57.1,284,32,56,235.15,2358,5,2742,2021
"D.Colquitt",2316,"P","CLV",11,48,48,4.11,39.1,44.46,9.4,1,0,5,10,8,57.1,15,66,9,0,43.8,197,21,49,197.29,1877,3,2134,2021
"R.Gould",2607,"K","SF",1,2,2,4.03,45,45,NA,0,0,1,1,28,58.6,1,47,0,0,0,0,0,2,8.05,90,0,90,2021
"S.Koch",3148,"P","BLT",17,71,71,4.26,40.01,44.35,7.4,0,0,10,16,3,67,28,61,10,0,43.7,228,31,71,302.65,2841,4,3149,2021
"B.Kern",4580,"P","TEN",15,51,51,4.06,40.51,44.53,10.3,0,0,8,14,31,62.2,21,59,10,0,35.3,185,18,51,207.22,2066,1,2271,2021
"K.Huber",5066,"P","CIN",20,82,82,4.17,40.89,45.59,7.4,0,0,9,20,7,52.8,28,61,11,0,43.9,265,36,82,342.34,3353,6,3738,2021
"T.Morstead",5088,"P","ATL",14,45,45,4.25,42.04,47.18,10.1,0,0,4,17,2,68.7,21,64,3,0,42.2,191,19,45,191.33,1892,2,2123,2021
"B.Anger",7072,"P","DAL",18,70,70,4.48,45.1,48.73,6.7,0,0,8,27,9,77.1,29,63,5,0,37.1,174,26,70,313.84,3157,4,3411,2021
"J.Hekker",7252,"P","LA",21,67,67,4.16,41.79,44.24,6.9,0,0,11,27,26,62.2,33,59,11,0,22.4,104,15,67,279.05,2800,3,2964,2021
"S.Martin",7947,"P","DEN",17,67,67,4.17,42.82,46.01,6.4,0,0,7,24,10,72.2,31,68,9,0,35.8,154,24,67,279.63,2869,3,3083,2021
"T.Way",8358,"P","WAS",15,60,60,4.31,42.07,48.35,9.1,1,0,8,14,32,63.1,22,66,5,1,43.3,237,26,61,258.88,2524,7,2901,2021
"P.O'Donnell",8826,"P","CHI",17,62,62,4.09,38.55,46.21,11,0,0,7,13,6,57,20,72,3,0,54.8,375,34,62,253.87,2390,5,2865,2021
"M.Palardy",9277,"P","MIA",17,78,78,4.14,40.09,44.73,8.7,0,0,12,27,17,54.7,31,65,4,0,38.5,262,30,78,323.27,3127,5,3489,2021
"B.Pinion",9598,"P","TB",17,67,67,4.41,39.01,43.75,8.9,0,0,9,18,30,63.9,28,65,8,0,43.3,257,29,67,295.17,2614,3,2931,2021
"T.Long",9728,"K","LAC",14,46,46,4.2,37.57,45.46,11.1,1,0,4,5,27,50.9,12,69,6,0,63,323,29,47,193.27,1728,2,2091,2021
"J.Berry",10236,"P","MIN",17,78,78,4.12,41.35,46.46,8.7,1,0,10,15,18,57,28,64,11,0,50,339,39,79,321.1,3225,3,3624,2021
"R.Dixon",10862,"P","NYG",17,74,74,4.16,39.54,44.36,8.5,0,0,17,15,21,51.2,24,63,8,0,37.8,237,28,74,307.55,2926,6,3283,2021
"L.Edwards",10869,"P","CAR",10,38,38,4.07,41.61,47.92,8.7,1,0,2,9,5,55.3,9,62,2,0,60.5,200,23,39,154.73,1581,2,1821,2021
"Z.Gonzalez",11979,"K","CAR",1,1,1,3.37,20,40,NA,0,0,0,0,5,60,0,40,0,0,0,0,0,1,3.37,20,1,40,2021
"H.Butker",11988,"K","KC",1,1,1,3.21,31,31,NA,0,0,1,0,16,60,1,31,0,0,0,0,0,1,3.21,31,0,31,2021
"Y.Koo",12042,"K","ATL",1,2,2,2.95,35,35,NA,0,0,1,0,2,57.5,0,45,1,0,0,0,0,2,5.89,70,0,70,2021
"R.Sanchez",12130,"P","IND",17,59,59,4.23,39.66,44.53,9.5,0,0,8,15,14,70.6,26,79,7,0,47.5,267,28,59,249.86,2340,1,2627,2021
"M.Haack",12212,"P","BUF",16,56,56,4.07,37.66,42.95,8.2,1,0,10,12,4,49.5,20,63,8,0,33.9,156,19,57,227.68,2109,7,2405,2021
"C.Johnston",12255,"P","HST",17,88,88,4.14,41.74,46.68,7.9,0,0,10,22,13,62.1,39,69,7,0,51.1,355,45,88,364.16,3673,4,4108,2021
"T.Vizcaino",13076,"K","LAC",1,1,1,4.01,26,32,6,0,0,0,0,27,60,1,32,0,0,0,6,0,1,4.01,26,0,32,2021
"J.Townsend",22261,"P","KC",4,13,13,3.96,36.77,42.77,11.6,0,0,0,5,16,46.7,3,63,2,0,38.5,58,5,13,51.44,478,1,556,2021
"C.Bojorquez",27626,"P","GB",18,58,58,4.26,40.21,46.59,12.1,1,0,8,12,12,62,22,82,10,0,41.4,290,24,59,247.11,2332,4,2702,2021
"L.Cooke",29214,"P","JAX",15,64,64,4.34,44.27,47.28,8.2,1,0,8,26,15,72.6,32,68,8,0,32.8,173,21,65,277.96,2833,1,3026,2021
"R.Winslow",30026,"P","WAS",4,16,16,4.01,37.44,39.06,2.9,0,0,3,3,32,45.4,3,46,1,0,56.3,26,9,16,64.15,599,0,625,2021
"T.Townsend",33007,"P","KC",18,47,47,4.37,42.6,46.4,5,0,0,5,14,16,46.2,25,68,4,0,42.6,99,20,47,205.19,2002,4,2181,2021
"S.Hofrichter",33541,"P","TB",2,6,6,4.34,34.17,37.83,11,0,0,0,4,30,59.5,3,45,0,0,33.3,22,2,6,26.04,205,0,227,2021
"J.Charlton",33672,"P","JAX",6,24,24,4.54,38.04,40.54,10,1,0,2,14,15,61.8,8,57,3,0,16.7,40,4,25,108.98,913,1,973,2021
"J.Bailey",33963,"P","NE",18,52,52,4.17,41.27,47.27,10.7,3,0,6,14,19,63.1,28,71,8,0,34.6,192,18,55,216.88,2146,6,2458,2021
"M.Ammendola",34039,"K","NYJ",1,6,6,3.98,42.5,48.5,12,0,0,0,1,22,56,2,65,2,0,50,36,3,6,23.88,255,0,291,2021
"J.Fox",34735,"P","DET",17,65,65,4.24,42.31,49.2,8.8,0,0,11,10,11,59.9,18,70,2,0,53.8,308,35,65,275.69,2750,7,3198,2021
"M.Dickson",35381,"P","SEA",17,83,83,4.2,41.7,46.93,7.3,0,0,13,22,29,65.9,43,68,6,0,38.6,234,32,83,348.7,3461,10,3895,2021
"A.Cole",36038,"P","LV",18,66,66,4.33,42.33,50.02,12.2,0,0,5,17,23,83.3,32,71,7,0,45.5,367,30,66,285.89,2794,7,3301,2021
"J.Scott",38809,"P","JAX",1,4,4,4.74,39.75,39.75,NA,0,0,0,4,15,56.5,1,47,0,0,0,0,0,4,18.97,159,0,159,2021
"C.Waitman",39620,"P","PIT",2,7,7,4.12,42.57,52.14,9.4,0,0,1,0,25,53.3,1,63,0,0,71.4,47,5,7,28.82,298,1,365,2021
"M.Wishnowsky",44663,"P","SF",19,71,71,4.26,40.49,44.61,7.5,0,0,12,23,28,58.4,29,67,7,0,32.4,172,23,71,302.66,2875,6,3167,2021
"B.Mann",44664,"P","NYJ",10,41,41,4.33,41.56,45.73,9.4,1,0,9,6,22,57.1,15,63,9,0,39,151,16,42,177.5,1704,1,1875,2021
"B.Gillikin",45045,"P","NO",17,83,83,4.25,41.99,47.66,9.1,0,0,11,18,20,64.9,32,63,7,0,51.8,391,43,83,352.87,3485,4,3956,2021
"C.Nizialek",60273,"P","PIT",4,18,18,4.09,39.78,45.39,8.7,0,0,3,3,25,53.6,7,62,3,0,38.9,61,7,18,73.59,716,2,817,2021
"P.Harvin",62973,"P","PIT",16,77,77,4.29,38.27,43.25,10.4,0,0,7,20,25,54.4,32,64,16,0,40.3,323,31,77,330.51,2947,3,3330,2021
"J.Gillan",63303,"P","CLV",12,42,42,4.22,39.52,43.86,8.5,0,0,3,12,8,52.6,16,65,7,0,45.2,162,19,42,177.29,1660,1,1842,2021
"A.Siposs",82019,"P","PHI",17,61,61,4.22,38.85,43.74,8.5,0,0,10,13,24,64.8,19,68,7,0,45.9,238,28,61,257.57,2370,3,2668,2021
"A.Lee",1906,"P","ARZ",17,67,67,4.26,40.9,47.12,9.1,1,0,6,16,1,63.4,20,65,4,0,55.2,337,37,68,285.28,2740,4,3157,2022
"B.Kern",4580,"P","PHI",5,17,17,3.79,37.71,42.18,7,0,0,1,5,24,50.2,4,53,2,0,47.1,56,8,17,64.35,641,1,717,2022
"K.Huber",5066,"P","CIN",9,31,31,4.27,37.42,43.23,14.5,0,0,3,13,7,54.4,10,63,3,0,35.5,160,11,31,132.43,1160,1,1340,2022
"T.Morstead",5088,"P","MIA",17,66,66,4.34,41.24,46.83,10,0,0,11,18,17,72.6,31,66,2,0,50,329,33,67,286.25,2722,2,3091,2022
