"player","player_id","position","team_name","player_game_count","attempts","attempts_with_hangtime","average_hangtime","average_net_yards","average_yards_per_attempt","average_yards_per_return","blocks","declined_penalties","downeds","fair_catches","franchise_id","grades_punter","inside_twenties","long","out_of_bounds","penalties","percent_returned","return_yards","returns","snaps","total_hangtime","total_net_yards","touchbacks","yards","season"
"R.Allen",8242,"P","NE",19,78,78,4.25,39.81,45.58,8.4,0,0,11,16,19,55.3,30,67,6,0,47.4,310,37,79,331.3,3105,7,3555,2014
"B.Wing",8256,"P","PIT",17,64,64,4.33,38.56,43.41,8.5,0,0,10,20,25,55.9,25,74,3,0,42.2,230,27,64,277.15,2468,4,2778,2014
"T.Way",8358,"P","WAS",16,76,76,4.57,40.29,47.5,10.5,0,0,12,11,32,75.3,22,77,6,0,51.3,408,39,77,347.55,3062,7,3610,2014
"P.O'Donnell",8826,"P","CHI",15,71,71,4.44,38.25,43.85,10.9,0,0,8,21,6,71.9,23,63,8,0,43.7,337,31,72,314.94,2716,3,3113,2014
"P.Dawson",422,"K","SF",1,1,1,4.38,47,48,1,0,0,0,0,28,60,0,48,0,0,100,1,1,1,4.38,47,0,48,2015
"S.Lechler",673,"P","HST",17,100,100,4.36,38.35,46.98,10.5,0,0,8,16,13,58.7,28,64,2,0,63,663,63,100,435.91,3835,10,4698,2015
"M.Scifres",1458,"P","SD",16,72,72,4.22,38.42,45.29,10.6,1,0,8,15,27,43.9,15,68,4,0,59.7,455,43,73,303.81,2766,2,3261,2015
"A.Lee",1906,"P","CLV",16,70,70,4.44,40.11,46.7,10.3,0,0,7,15,8,71.6,28,67,7,0,52.9,381,37,70,310.73,2808,4,3269,2015
"D.Jones",1939,"P","PHI",16,86,86,4.4,42.6,46.97,5.1,0,1,12,23,24,63.8,31,64,1,1,48.8,215,42,89,378.67,3664,8,4039,2015
"D.Colquitt",2316,"P","KC",18,82,82,4.38,40.6,44.16,7.1,0,0,15,25,16,75.8,42,62,10,0,32.9,192,27,82,359.13,3329,5,3621,2015
"N.Novak",2726,"K","HST",1,1,1,4.27,16,36,NA,0,0,0,0,13,60,0,36,0,0,0,0,0,1,4.27,16,1,36,2015
"S.Koch",3148,"P","BLT",16,74,74,4.35,43.11,46.57,5.2,0,0,11,13,3,86.9,31,67,11,0,45.9,176,34,74,321.89,3190,4,3446,2015
"J.Ryan",3493,"P","SEA",18,76,76,4.35,37.32,44.28,12.2,0,0,11,21,29,69.5,32,69,5,0,42.1,389,32,76,330.45,2836,7,3365,2015
"S.Weatherford",3552,"P","NYJ",1,4,4,4.1,30.75,40.25,12.7,0,0,1,0,22,53,0,50,0,0,75,38,3,4,16.38,123,0,161,2015
"B.Fields",3841,"P","NO",2,10,10,3.99,35.1,41.2,10.5,0,0,2,1,20,54.4,4,57,3,0,20,21,2,10,39.87,351,2,412,2015
"B.Kern",4580,"P","TEN",16,88,88,4.45,40.34,47.44,12.9,0,0,6,22,31,87.6,37,61,10,0,53.4,605,47,88,391.31,3550,1,4175,2015
"K.Huber",5066,"P","CIN",17,74,74,4.36,40.39,44.86,6.4,0,0,13,17,7,59.4,26,67,4,0,44.6,211,33,75,322.46,2989,6,3320,2015
"T.Morstead",5088,"P","NO",14,56,56,4.44,40.66,45.55,8.1,0,0,2,14,20,70.7,20,58,12,0,42.9,194,24,56,248.42,2277,4,2551,2015
"P.McAfee",5146,"P","IND",16,85,85,4.64,41.71,47.66,10.7,0,0,12,23,14,91.9,31,63,7,0,42.4,386,36,85,394.16,3545,6,4051,2015
"B.Colquitt",5192,"P","DEN",19,107,107,4.36,40.29,44.01,6.6,0,0,18,19,10,72,34,62,16,0,44.9,318,48,107,466.99,4311,4,4709,2015
"T.Masthay",5510,"P","GB",18,89,89,4.16,39.62,43.11,4.5,0,0,8,17,12,46.8,23,62,15,0,47.2,191,42,89,370.46,3526,6,3837,2015
"M.Bosher",6344,"P","ATL",15,58,58,4.47,41.09,47.16,9.7,0,0,5,19,2,75,25,69,2,0,48.3,272,28,59,259.47,2383,4,2735,2015
"S.Lanning",6566,"P","CHI",1,3,3,3.97,36,45.67,9.7,0,0,0,0,6,60.1,1,52,0,0,100,29,3,3,11.9,108,0,137,2015
